Specimen_AllReader_Record5 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   ID:2 R2 (X)                   ID:2 R2 (Y)                   ID:4 R3 (X)                   ID:4 R3 (Y)                   ID:6 R4 (X)                   ID:6 R4 (Y)                   ID:7 R5 (X)                   ID:7 R5 (Y)                   ID:8 R6 (X)                   ID:8 R6 (Y)                   R7 T (N��m),                  R8 D (cm)                     
13:16:46.087                  3.6037                        -0.4294                       5.5149                        0.6468                        -1.5381                       -17.5493                      1.7602                        -0.5364                       0.4672                        -1.7494                       0.6709                        -3.6369                       0                             0.299                         
13:16:47.072                  3.6042                        -0.4296                       5.5157                        0.6479                        -1.5379                       -17.5498                      1.7607                        -0.5339                       0.4668                        -1.7481                       0.6709                        -3.6358                       0                             0.3                           
13:16:48.084                  3.6042                        -0.43                         5.5165                        0.6481                        -1.5377                       -17.5501                      1.7596                        -0.5346                       0.4676                        -1.7492                       0.6694                        -3.6361                       0                             0.3                           
13:16:49.093                  3.6025                        -0.4285                       5.5152                        0.6479                        -1.5374                       -17.5497                      1.7601                        -0.5352                       0.4672                        -1.7494                       0.6702                        -3.635                        0                             0.3                           
13:16:50.107                  3.6013                        -0.4289                       5.5128                        0.6464                        -1.5372                       -17.5489                      1.7591                        -0.5345                       0.4666                        -1.7494                       0.6691                        -3.636                        0                             0.3                           
13:16:51.117                  3.6028                        -0.4306                       5.5141                        0.648                         -1.5375                       -17.549                       1.7596                        -0.5345                       0.4675                        -1.748                        0.6708                        -3.6352                       0                             0.3                           
13:16:52.115                  3.6015                        -0.4291                       5.5124                        0.6466                        -1.5394                       -17.5501                      1.7607                        -0.5347                       0.468                         -1.749                        0.6691                        -3.6347                       0                             0.3                           
13:16:53.121                  3.601                         -0.4295                       5.5126                        0.6481                        -1.5375                       -17.5501                      1.76                          -0.5341                       0.4664                        -1.7481                       0.6698                        -3.635                        0                             0.3                           
13:16:53.410                  3.6004                        -0.4293                       5.5124                        0.6485                        -1.5371                       -17.55                        1.76                          -0.5339                       0.4662                        -1.7487                       0.6695                        -3.6353                       0                             0.3                           
13:16:53.675                  3.6003                        -0.4293                       5.5125                        0.6481                        -1.5372                       -17.5497                      1.76                          -0.5336                       0.4665                        -1.7489                       0.67                          -3.6353                       0                             0.3                           
13:16:53.945                  3.6008                        -0.4295                       5.5129                        0.6472                        -1.5375                       -17.5491                      1.7598                        -0.5337                       0.4668                        -1.7488                       0.6709                        -3.6351                       0                             0.3                           
13:16:54.235                  3.6015                        -0.4294                       5.5129                        0.6461                        -1.5377                       -17.5484                      1.7596                        -0.5342                       0.4671                        -1.7486                       0.6712                        -3.6351                       0                             0.3                           
13:16:54.505                  3.6017                        -0.4289                       5.5124                        0.6458                        -1.5377                       -17.5486                      1.7592                        -0.5344                       0.4674                        -1.7483                       0.6706                        -3.6351                       0                             0.299                         
13:16:54.785                  3.601                         -0.4286                       5.5114                        0.6466                        -1.5374                       -17.5493                      1.7589                        -0.5345                       0.4676                        -1.748                        0.67                          -3.6355                       0                             0.299                         
13:16:55.065                  3.6005                        -0.4283                       5.5105                        0.6474                        -1.5375                       -17.55                        1.759                         -0.5343                       0.4672                        -1.748                        0.67                          -3.636                        0                             0.3                           
13:16:55.335                  3.6003                        -0.4284                       5.5099                        0.6474                        -1.5377                       -17.5506                      1.7591                        -0.5345                       0.4666                        -1.7484                       0.6702                        -3.636                        0                             0.3                           
13:16:55.615                  3.6003                        -0.4286                       5.5099                        0.6466                        -1.538                        -17.5508                      1.7594                        -0.5349                       0.4668                        -1.7489                       0.6701                        -3.6354                       0                             0.3                           
13:16:55.895                  3.5999                        -0.429                        5.5105                        0.6458                        -1.5382                       -17.5508                      1.7596                        -0.5349                       0.4677                        -1.7491                       0.67                          -3.6351                       0                             0.3                           
13:16:56.175                  3.5996                        -0.429                        5.511                         0.6458                        -1.5385                       -17.5507                      1.76                          -0.534                        0.4682                        -1.7489                       0.6701                        -3.6351                       0                             0.3                           
13:16:56.445                  3.5995                        -0.4291                       5.5108                        0.646                         -1.5389                       -17.5508                      1.7602                        -0.5334                       0.4681                        -1.7485                       0.6694                        -3.6352                       0                             0.3                           
13:16:56.735                  3.5994                        -0.4293                       5.5104                        0.6463                        -1.5393                       -17.5507                      1.7601                        -0.5336                       0.4675                        -1.7482                       0.6687                        -3.6351                       0                             0.299                         
13:16:57.005                  3.5996                        -0.4292                       5.5102                        0.6457                        -1.5395                       -17.55                        1.76                          -0.5342                       0.4671                        -1.7478                       0.6685                        -3.6351                       0                             0.3                           
13:16:57.275                  3.5998                        -0.4287                       5.5099                        0.6454                        -1.539                        -17.5494                      1.76                          -0.5341                       0.4668                        -1.7478                       0.6691                        -3.6354                       0                             0.299                         
