Specimen_AllReader_Record7 No ,  

Time (h.m.s.ms),              ID:2 R1 (X)                   ID:2 R1 (Y)                   R2 D (cm)                     ID:3 R3 (X)                   ID:3 R3 (Y)                   R4 T (N��m),                  ID:4 R5 (X)                   ID:4 R5 (Y)                   ID:6 R6 (X)                   ID:6 R6 (Y)                   ID:7 R7 (X)                   ID:7 R7 (Y)                   ID:8 R8 (X)                   ID:8 R8 (Y)                   
14:04:08.338                  5.15                          0.5209                        0.298                         2.9666                        -0.3302                       0                             -1.5673                       -17.484                       1.5826                        -2.468                        0.4998                        -1.675                        0.6755                        -3.5404                       
14:04:09.345                  5.1511                        0.5216                        0.298                         2.9659                        -0.3301                       0                             -1.5669                       -17.4828                      1.5813                        -2.4678                       0.4997                        -1.6751                       0.6762                        -3.54                         
14:04:10.368                  5.1496                        0.5205                        0.298                         2.9663                        -0.33                         0                             -1.5673                       -17.4831                      1.5825                        -2.4691                       0.4997                        -1.6734                       0.6748                        -3.5392                       
14:04:11.375                  5.1504                        0.5213                        0.298                         2.9663                        -0.3298                       0                             -1.5682                       -17.4836                      1.5821                        -2.4684                       0.5003                        -1.6744                       0.6741                        -3.54                         
14:04:12.367                  5.1496                        0.5225                        0.298                         2.9661                        -0.3313                       0                             -1.5677                       -17.4833                      1.581                         -2.4675                       0.5002                        -1.6753                       0.675                         -3.5401                       
14:04:13.374                  5.1496                        0.5223                        0.298                         2.967                         -0.3307                       0                             -1.5672                       -17.4842                      1.5809                        -2.4679                       0.5015                        -1.6741                       0.6752                        -3.5403                       
14:04:14.397                  5.1501                        0.5216                        0.298                         2.9658                        -0.3298                       0                             -1.5675                       -17.4831                      1.5816                        -2.4682                       0.5003                        -1.6735                       0.6744                        -3.539                        
14:04:15.405                  5.1494                        0.5223                        0.299                         2.967                         -0.3307                       0                             -1.5684                       -17.4842                      1.581                         -2.4679                       0.4998                        -1.6748                       0.6747                        -3.5391                       
14:04:16.412                  5.1494                        0.5213                        0.298                         2.9652                        -0.3303                       0                             -1.5674                       -17.4831                      1.5821                        -2.4671                       0.4999                        -1.674                        0.6747                        -3.5391                       
14:04:17.436                  5.1502                        0.5209                        0.298                         2.9645                        -0.3299                       0                             -1.5664                       -17.4823                      1.5813                        -2.4677                       0.5002                        -1.6743                       0.6738                        -3.5398                       
