Specimen_AllReader_Record4 No ,  

Time (h.m.s.ms),              ID:2 R1 (X)                   ID:2 R1 (Y)                   ID:4 R3 (X)                   ID:4 R3 (Y)                   ID:7 R5 (X)                   ID:7 R5 (Y)                   ID:8 R6 (X)                   ID:8 R6 (Y)                   R7 T (N��m),                  R8 D (cm)                     
12:50:47.123                  6.2057                        1.0784                        -1.5397                       -17.6243                      0.9056                        -17.3138                      -0.1342                       -43.2292                      0                             0.3                           
12:50:47.313                  6.2045                        1.0778                        -1.5394                       -17.624                       0.9058                        -17.3137                      -0.1258                       -43.2232                      0                             0.3                           
12:50:47.503                  6.2033                        1.0771                        -1.5388                       -17.6239                      0.9055                        -17.3137                      -0.119                        -43.218                       0                             0.3                           
12:50:47.713                  6.2024                        1.0765                        -1.5385                       -17.6241                      0.9049                        -17.3138                      -0.1126                       -43.2131                      0                             0.3                           
12:50:47.923                  6.2017                        1.076                         -1.539                        -17.6243                      0.9043                        -17.3141                      -0.1059                       -43.2085                      0                             0.3                           
12:50:48.143                  6.2013                        1.0753                        -1.5395                       -17.6238                      0.9037                        -17.3146                      -0.0994                       -43.2041                      0                             0.3                           
12:50:48.373                  6.2006                        1.0746                        -1.5399                       -17.6233                      0.9037                        -17.3151                      -0.0914                       -43.1991                      0                             0.3                           
12:50:48.593                  6.1991                        1.0739                        -1.5399                       -17.6227                      0.9042                        -17.3152                      -0.0836                       -43.194                       0                             0.3                           
12:50:48.803                  6.1976                        1.0738                        -1.5398                       -17.6229                      0.905                         -17.315                       -0.0762                       -43.1889                      0                             0.3                           
12:50:48.993                  6.1966                        1.0736                        -1.5399                       -17.6229                      0.9055                        -17.3146                      -0.0691                       -43.1837                      0                             0.3                           
12:50:49.203                  6.196                         1.0734                        -1.5401                       -17.6236                      0.906                         -17.3142                      -0.0628                       -43.1793                      0                             0.3                           
12:50:49.413                  6.1955                        1.0728                        -1.5404                       -17.6243                      0.9061                        -17.3137                      -0.0562                       -43.1748                      0                             0.3                           
12:50:49.633                  6.1949                        1.0724                        -1.5406                       -17.6251                      0.9064                        -17.3134                      -0.048                        -43.1696                      0                             0.3                           
12:50:49.853                  6.1941                        1.0717                        -1.5407                       -17.6249                      0.9063                        -17.3135                      -0.04                         -43.1643                      0                             0.3                           
12:50:50.083                  6.1931                        1.0709                        -1.5406                       -17.6243                      0.906                         -17.3141                      -0.0321                       -43.1587                      0                             0.3                           
