Specimen_AllReader_Record1 No ,  

Time (h.m.s.ms),              R1 D (cm)                     ID:0 R2 (X)                   ID:0 R2 (Y)                   R3 D (cm)                     R4 T (N·m),                   
18:15:00.600                  0                             0.3683                        0.0068                        0.278                         0                             
18:15:00.712                  0                             0.3683                        0.0071                        0.278                         0                             
18:15:00.839                  0                             0.3683                        0.0071                        0.278                         0                             
18:15:00.952                  0                             0.3682                        0.0072                        0.278                         0                             
18:15:01.047                  0                             0.3682                        0.0071                        0.278                         0                             
18:15:01.192                  0                             0.3683                        0.0071                        0.278                         0                             
18:15:01.304                  0                             0.3683                        0.0069                        0.278                         0                             
18:15:01.432                  0                             0.3682                        0.0068                        0.278                         0                             
18:15:01.543                  0                             0.3683                        0.0069                        0.278                         0                             
18:15:01.639                  0                             0.3683                        0.0068                        0.278                         0                             
18:15:01.784                  0                             0.3682                        0.0068                        0.278                         0                             
18:15:01.896                  0                             0.3682                        0.0069                        0.278                         0                             
18:15:02.023                  0                             0.3681                        0.0069                        0.278                         0                             
18:15:02.136                  0                             0.368                         0.0069                        0.278                         0                             
18:15:02.232                  0                             0.3678                        0.0069                        0.278                         0                             
18:15:02.375                  0                             0.3678                        0.007                         0.278                         0                             
18:15:02.487                  0                             0.3676                        0.0071                        0.278                         0                             
18:15:02.616                  0                             0.3675                        0.0072                        0.278                         0                             
18:15:02.727                  0                             0.3673                        0.0074                        0.278                         0                             
18:15:02.824                  0                             0.3671                        0.0074                        0.278                         0                             
18:15:02.968                  0                             0.367                         0.0073                        0.278                         0                             
18:15:03.080                  0                             0.3669                        0.0071                        0.278                         0                             
18:15:03.207                  0                             0.367                         0.007                         0.278                         0                             
18:15:03.320                  0                             0.3671                        0.0068                        0.278                         0                             
18:15:03.415                  0                             
