Specimen_AllReader_Record7 No ,  

Time (h.m.s.ms),              ID:0 R1 (X)                   ID:0 R1 (Y)                   R2 D (cm)                     R3 T (N·m),                   
10:56:13.199                  0.3593                        -0.0331                       0.287                         0                             
10:56:14.207                  0.3589                        -0.0329                       0.287                         0                             
10:56:15.214                  0.3586                        -0.0335                       0.287                         0                             
10:56:16.237                  0.358                         -0.0333                       0.287                         0                             
10:56:17.245                  0.3586                        -0.0313                       0.287                         0                             
10:56:18.252                  0.358                         -0.0331                       0.287                         0                             
10:56:19.276                  0.3594                        -0.0326                       0.287                         0                             
10:56:20.282                  0.3587                        -0.0332                       0.287                         0                             
