Specimen_AllReader_Record26 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   R2 D (cm)                     
14:57:47.516                  1.5463                        -0.1941                       0.299                         
14:57:48.505                  1.5469                        -0.1941                       0.299                         
14:57:49.517                  1.5468                        -0.1956                       0.299                         
14:57:50.512                  1.5471                        -0.1942                       0.299                         
14:57:51.540                  1.5445                        -0.1947                       0.299                         
14:57:52.546                  1.5464                        -0.1931                       0.299                         
14:57:52.658                  1.5465                        -0.1928                       0.299                         
14:57:52.789                  1.5465                        -0.1928                       0.299                         
14:57:52.875                  1.5466                        -0.1931                       0.299                         
14:57:52.978                  1.5467                        -0.1934                       0.299                         
14:57:53.109                  1.5469                        -0.1935                       0.298                         
14:57:53.225                  1.547                         -0.1936                       0.298                         
14:57:53.336                  1.547                         -0.1938                       0.299                         
14:57:53.432                  1.5469                        -0.1938                       0.299                         
14:57:53.541                  1.5468                        -0.1937                       0.299                         
14:57:53.616                  1.5467                        -0.1935                       0.299                         
14:57:53.730                  1.5467                        -0.1936                       0.299                         
14:57:53.862                  1.5467                        -0.1936                       0.299                         
14:57:55.870                  
