Specimen_Reader1_Record1 No Reader1,  

Time (h.m.s.ms)ID:0 R1 (X)                   ID:0 R1 (Y)                   
10:55:50.244                  0                             0                             
10:55:50.340                  0.3682                        0.0371                        
10:55:50.436                  0.3681                        0.0369                        
10:55:50.548                  0.3682                        0.0368                        
10:55:50.659                  0.3682                        0.0368                        
10:55:50.772                  0.3682                        0.0368                        
10:55:50.884                  0.3682                        0.0369                        
10:55:50.979                  0.3686                        0.037                         
10:55:51.092                  0.3689                        0.0369                        
10:55:51.203                  0.3692                        0.0369                        
10:55:51.316                  0.3695                        0.0367                        
10:55:51.428                  0.3697                        0.0366                        
10:55:51.540                  0.3699                        0.0364                        
10:55:51.651                  0.3699                        0.0364                        
10:55:51.750                  0.3698                        0.0363                        
10:55:51.860                  0.3695                        0.0362                        
10:55:51.971                  0.3693                        0.0362                        
10:55:52.085                  0.3692                        0.0361                        
10:55:52.195                  0.369                         0.036                         
10:55:52.307                  0.3687                        0.0359                        
10:55:52.403                  0.3685                        0.0358                        
10:55:52.515                  0.3685                        0.0356                        
10:55:52.628                  0.3685                        0.0355                        
10:55:52.739                  0.3683                        0.0354                        
10:55:52.851                  0.3682                        0.0353                        
10:55:52.963                  0.3681                        0.0352                        
10:55:53.075                  0.3681                        0.035                         
10:55:53.171                  0.368                         0.035                         
10:55:53.284                  0.3678                        0.0351                        
10:55:53.396                  0.3678                        0.0352                        
10:55:53.507                  0.368                         0.0352                        
10:55:53.619                  0.3682                        0.0353                        
10:55:53.732                  0.3684                        0.0355                        
10:55:53.843                  0.3686                        0.0357                        
10:55:53.939                  0.3689                        0.0357                        
10:55:54.051                  0.3692                        0.0358                        
10:55:54.163                  0.3692                        0.0359                        
10:55:54.275                  0.3693                        0.036                         
10:55:54.386                  0.3694                        0.036                         
10:55:54.499                  0.3693                        0.036                         
10:55:54.596                  0.3692                        0.036                         
10:55:54.707                  0.3691                        0.0361                        
10:55:54.819                  0.369                         0.036                         
10:55:54.933                  0.369                         0.0362                        
10:55:55.043                  0.369                         0.0365                        
10:55:55.154                  0.3691                        0.0365                        
10:55:55.267                  0.3691                        0.0365                        
10:55:55.379                  0.3691                        0.0366                        
10:55:55.490                  0.3692                        0.0367                        
10:55:55.587                  0.3692                        0.0365                        
10:55:55.699                  0.369                         0.0362                        
10:55:55.811                  0.3687                        0.0361                        
10:55:55.922                  0.3685                        0.0361                        
10:55:56.035                  0.3684                        0.0359                        
10:55:56.147                  0.3683                        0.0358                        
10:55:56.242                  0.3681                        0.0358                        
10:55:56.355                  0.368                         0.0359                        
10:55:56.466                  0.368                         0.0359                        
10:55:56.578                  0.3681                        0.036                         
10:55:56.675                  0.368                         0.0361                        
10:55:56.786                  0.368                         0.0364                        
