Specimen_AllReader_Record5 No ,  

Time (h.m.s.ms),              ID:0 R1 (X)                   ID:0 R1 (Y)                   R2 D (cm)                     R3 T (N·m),                   
17:17:24.590                  0.3686                        0.0071                        0.278                         0                             
17:17:24.734                  0.3685                        0.0069                        0.278                         0                             
17:17:24.861                  0.3685                        0.0066                        0.278                         0                             
17:17:24.989                  0.3684                        0.0062                        0.278                         0                             
17:17:25.103                  0.3685                        0.0061                        0.278                         0                             
17:17:25.213                  0.3686                        0.0059                        0.278                         0                             
17:17:25.325                  0.3688                        0.0057                        0.278                         0                             
17:17:25.453                  0.3688                        0.0055                        0.278                         0                             
17:17:25.565                  0.3689                        0.0055                        0.278                         0                             
17:17:25.693                  0.3688                        0.0055                        0.278                         0                             
17:17:25.805                  0.3688                        0.0055                        0.278                         0                             
17:17:25.917                  0.3687                        0.0056                        0.278                         0                             
17:17:26.045                  0.3686                        0.0058                        0.278                         0                             
17:17:26.158                  0.3686                        0.0062                        0.278                         0                             
17:17:26.285                  0.3686                        0.0065                        0.278                         0                             
17:17:26.509                  0.3686                        0.0068                        0.278                         0                             
17:17:26.622                  0.3687                        0.0073                        0.278                         0                             
17:17:26.749                  0.3688                        0.0073                        0.278                         0                             
17:17:26.861                  0.3688                        0.0073                        0.278                         0                             
17:17:26.973                  0.369                         0.0072                        0.278                         0                             
17:17:27.101                  0.369                         0.0071                        0.278                         0                             
17:17:27.213                  0.369                         0.0069                        0.278                         0                             
17:17:27.341                  0.369                         0.0067                        0.278                         0                             
17:17:27.454                  0.3687                        0.0067                        0.278                         0                             
17:17:27.565                  0.3684                        0.0068                        0.278                         0                             
17:17:27.693                  0.3682                        0.0068                        0.278                         0                             
17:17:27.805                  0.368                         0.0065                        0.278                         0                             
17:17:27.933                  0.3678                        0.0062                        0.278                         0                             
17:17:28.044                  0.3677                        0.006                         0.278                         0                             
17:17:28.141                  0.3678                        0.0056                        0.278                         0                             
17:17:28.284                  0.3678                        0.0052                        0.278                         0                             
17:17:28.396                  0.3678                        0.005                         0.278                         0                             
17:17:28.525                  0.3679                        0.0049                        0.278                         0                             
17:17:28.637                  0.368                         0.0048                        0.278                         0                             
17:17:28.765                  0.3682                        0.005                         0.278                         0                             
17:17:28.877                  0.3685                        0.0052                        0.278                         0                             
17:17:28.989                  0.3687                        0.0053                        0.278                         0                             
17:17:29.117                  0.3689                        0.0055                        0.278                         0                             
17:17:29.229                  0.369                         0.0058                        0.278                         0                             
17:17:29.324                  0.3689                        0.0059                        0.278                         0                             
17:17:29.469                  0.3687                        0.0059                        0.278                         0                             
17:17:29.580                  0.3683                        0.0062                        0.278                         0                             
17:17:29.708                  0.3681                        0.0064                        0.278                         0                             
17:17:29.821                  0.3679                        0.0067                        0.278                         0                             
17:17:30.030                  0.3678                        0.0071                        0.278                         0                             
17:17:30.141                  0.3684                        0.0077                        0.278                         0                             
17:17:30.253                  0.3687                        0.0076                        0.278                         0                             
17:17:30.364                  0.369                         0.0075                        0.278                         0                             
17:17:30.492                  0.3692                        0.0072                        0.278                         0                             
17:17:30.604                  0.3694                        0.0068                        0.278                         0                             
17:17:30.732                  0.3693                        0.0064                        0.278                         0                             
17:17:30.844                  0.369                         0.0063                        0.278                         0                             
17:17:30.956                  0.3688                        0.0063                        0.278                         0                             
17:17:31.084                  0.3687                        0.0065                        0.278                         0                             
17:17:31.196                  0.3688                        0.0067                        0.278                         0                             
17:17:31.324                  0.3688                        0.0068                        0.278                         0                             
17:17:31.436                  0.3688                        0.007                         0.278                         0                             
17:17:31.548                  0.369                         0.0072                        0.278                         0                             
17:17:31.676                  0.3689                        0.0072                        0.278                         0                             
17:17:31.788                  0.3687                        0.0073                        0.278                         0                             
17:17:31.916                  0.3684                        0.0073                        0.278                         0                             
17:17:32.028                  0.3683                        0.0072                        0.278                         0                             
17:17:32.124                  0.3682                        0.0072                        0.278                         0                             
17:17:32.268                  0.3682                        0.0072                        0.278                         0                             
17:17:32.380                  0.3683                        0.0073                        0.278                         0                             
17:17:32.508                  0.3685                        0.0075                        0.278                         0                             
17:17:32.621                  0.3687                        0.0075                        0.278                         0                             
17:17:32.747                  0.3686                        0.0075                        0.278                         0                             
17:17:32.859                  0.3685                        0.0075                        0.278                         0                             
17:17:32.971                  0.3684                        0.0075                        0.278                         0                             
17:17:33.099                  0.3682                        0.0072                        0.278                         0                             
17:17:33.212                  0.3679                        0.0069                        0.278                         0                             
17:17:33.340                  0.3677                        0.0067                        0.278                         0                             
17:17:33.452                  0.3676                        0.0066                        0.278                         0                             
17:17:33.564                  0.3675                        0.0062                        0.278                         0                             
17:17:33.691                  0.3675                        0.006                         0.278                         0                             
17:17:33.803                  0.3677                        0.006                         0.278                         0                             
17:17:33.931                  0.368                         0.006                         0.278                         0                             
17:17:34.043                  0.3682                        0.0059                        0.278                         0                             
17:17:34.155                  0.3683                        0.0059                        0.278                         0                             
17:17:34.283                  0.3683                        0.0062                        0.278                         0                             
17:17:34.395                  0.3683                        0.0064                        0.278                         0                             
17:17:34.523                  0.3683                        0.0066                        0.278                         0                             
17:17:34.635                  0.3681                        0.0066                        0.278                         0                             
17:17:34.747                  0.3681                        0.0067                        0.278                         0                             
17:17:34.875                  0.3682                        0.0068                        0.278                         0                             
17:17:34.987                  0.3684                        0.0067                        0.278                         0                             
17:17:35.115                  0.3684                        0.0065                        0.278                         0                             
17:17:35.227                  0.3684                        0.0064                        0.278                         0                             
17:17:35.323                  0.3682                        0.0065                        0.278                         0                             
17:17:35.466                  0.3681                        0.0066                        0.278                         0                             
17:17:35.579                  0.3678                        0.0065                        0.278                         0                             
17:17:35.707                  0.3676                        0.0065                        0.278                         0                             
17:17:35.819                  0.3674                        0.0065                        0.278                         0                             
17:17:35.914                  0.3674                        0.0065                        0.278                         0                             
17:17:36.059                  0.3677                        0.0061                        0.278                         0                             
17:17:36.172                  0.3681                        0.0059                        0.278                         0                             
17:17:36.299                  0.3684                        0.0057                        0.278                         0                             
17:17:36.411                  0.3687                        0.0057                        0.278                         0                             
17:17:36.507                  0.3691                        0.0057                        0.278                         0                             
17:17:36.650                  0.3692                        0.0057                        0.278                         0                             
17:17:36.762                  0.3692                        0.0058                        0.278                         0                             
17:17:36.890                  0.3691                        0.0059                        0.278                         0                             
17:17:37.003                  0.369                         0.0059                        0.278                         0                             
17:17:37.130                  0.3689                        0.0059                        0.278                         0                             
17:17:37.242                  0.3687                        0.006                         0.278                         0                             
17:17:37.354                  0.3686                        0.0062                        0.278                         0                             
17:17:37.482                  0.3686                        0.0064                        0.278                         0                             
17:17:37.594                  0.3684                        0.0066                        0.278                         0                             
17:17:37.722                  0.3682                        0.0069                        0.278                         0                             
17:17:37.835                  0.368                         0.0071                        0.278                         0                             
17:17:37.947                  0.3679                        0.007                         0.278                         0                             
17:17:38.075                  0.3677                        0.0069                        0.278                         0                             
17:17:38.187                  0.3677                        0.0069                        0.278                         0                             
17:17:38.282                  0.3677                        0.0069                        0.278                         0                             
17:17:38.427                  0.3678                        0.0069                        0.278                         0                             
17:17:38.538                  0.3679                        0.0069                        0.278                         0                             
17:17:38.666                  0.3683                        0.0069                        0.278                         0                             
17:17:38.778                  0.3685                        0.0069                        0.278                         0                             
17:17:38.906                  0.3687                        0.0068                        0.278                         0                             
17:17:39.018                  0.3688                        0.0067                        0.278                         0                             
17:17:39.130                  0.369                         0.0066                        0.278                         0                             
17:17:39.258                  0.3689                        0.0065                        0.278                         0                             
17:17:39.370                  0.3689                        0.0064                        0.278                         0                             
17:17:39.498                  0.3688                        0.0063                        0.278                         0                             
17:17:39.610                  0.3687                        0.0063                        0.278                         0                             
17:17:39.722                  0.3687                        0.0062                        0.278                         0                             
17:17:39.850                  0.3687                        0.006                         0.278                         0                             
17:17:39.962                  0.3687                        0.006                         0.278                         0                             
17:17:40.090                  0.3687                        0.0061                        0.278                         0                             
17:17:40.202                  0.3687                        0.0063                        0.278                         0                             
17:17:40.313                  0.3689                        0.0065                        0.278                         0                             
17:17:40.441                  0.369                         0.0065                        0.278                         0                             
17:17:40.554                  0.3691                        0.0066                        0.278                         0                             
17:17:40.681                  0.3692                        0.0066                        0.278                         0                             
17:17:40.793                  0.3691                        0.0063                        0.278                         0                             
17:17:40.889                  0.3689                        0.0062                        0.278                         0                             
17:17:41.033                  0.3685                        0.0062                        0.278                         0                             
17:17:41.145                  0.3682                        0.0064                        0.278                         0                             
17:17:41.273                  0.3679                        0.0065                        0.278                         0                             
17:17:41.385                  0.3676                        0.0065                        0.278                         0                             
17:17:41.497                  0.3676                        0.0067                        0.278                         0                             
17:17:41.625                  0.3677                        0.0067                        0.278                         0                             
17:17:41.737                  0.3678                        0.0066                        0.278                         0                             
17:17:41.865                  0.3682                        0.0066                        0.278                         0                             
17:17:41.977                  0.3687                        0.0066                        0.278                         0                             
17:17:42.073                  0.3691                        0.0068                        0.278                         0                             
17:17:42.217                  0.3695                        0.007                         0.278                         0                             
17:17:42.329                  0.37                          0.0072                        0.278                         0                             
17:17:42.457                  0.3703                        0.0073                        0.278                         0                             
17:17:42.570                  0.3704                        0.0074                        0.278                         0                             
17:17:42.665                  0.3704                        0.0074                        0.278                         0                             
17:17:42.809                  0.3701                        0.0072                        0.278                         0                             
17:17:42.921                  0.3697                        0.007                         0.278                         0                             
17:17:43.049                  0.3692                        0.0067                        0.278                         0                             
17:17:43.161                  0.3686                        0.0065                        0.278                         0                             
17:17:43.257                  0.368                         0.0062                        0.278                         0                             
17:17:43.401                  0.3677                        0.0061                        0.278                         0                             
17:17:43.513                  0.3675                        0.0061                        0.278                         0                             
17:17:43.641                  0.3676                        0.006                         0.278                         0                             
17:17:43.753                  0.3679                        0.006                         0.278                         0                             
17:17:43.881                  0.3683                        0.0061                        0.278                         0                             
17:17:43.993                  0.3688                        0.0062                        0.278                         0                             
17:17:44.105                  0.3693                        0.0063                        0.278                         0                             
17:17:44.233                  0.3697                        0.0064                        0.278                         0                             
17:17:44.345                  0.3699                        0.0067                        0.278                         0                             
17:17:44.473                  0.37                          0.0068                        0.278                         0                             
17:17:44.585                  0.37                          0.0068                        0.278                         0                             
17:17:44.697                  0.3699                        0.0069                        0.278                         0                             
17:17:44.826                  0.3696                        0.0068                        0.278                         0                             
17:17:44.938                  0.3694                        0.0068                        0.278                         0                             
17:17:45.064                  0.3693                        0.0066                        0.278                         0                             
17:17:45.176                  0.3692                        0.0066                        0.278                         0                             
17:17:45.288                  0.3691                        0.0065                        0.278                         0                             
17:17:45.416                  0.3691                        0.0064                        0.278                         0                             
17:17:45.528                  0.369                         0.0065                        0.278                         0                             
17:17:45.656                  0.3687                        0.0065                        0.278                         0                             
17:17:45.768                  0.3685                        0.0066                        0.278                         0                             
17:17:45.880                  0.3683                        0.0065                        0.278                         0                             
17:17:46.008                  0.368                         0.0065                        0.278                         0                             
17:17:46.120                  0.3677                        0.0063                        0.278                         0                             
17:17:46.248                  0.3677                        0.006                         0.278                         0                             
17:17:46.360                  0.3679                        0.0058                        0.278                         0                             
17:17:46.456                  0.368                         0.0058                        0.278                         0                             
17:17:46.600                  0.3682                        0.0058                        0.278                         0                             
17:17:46.712                  0.3684                        0.0059                        0.278                         0                             
17:17:46.840                  0.3685                        0.0059                        0.278                         0                             
17:17:46.952                  0.3684                        0.0062                        0.278                         0                             
17:17:47.080                  0.3685                        0.0063                        0.278                         0                             
17:17:47.192                  0.3685                        0.0062                        0.278                         0                             
17:17:47.304                  0.3685                        0.0062                        0.278                         0                             
17:17:47.432                  0.3685                        0.0061                        0.278                         0                             
17:17:47.544                  0.3685                        0.006                         0.278                         0                             
17:17:47.656                  0.3685                        0.0059                        0.278                         0                             
17:17:47.784                  0.3684                        0.0058                        0.278                         0                             
17:17:47.896                  0.3682                        0.0061                        0.278                         0                             
17:17:48.024                  0.3682                        0.0063                        0.278                         0                             
17:17:48.136                  0.3682                        0.0065                        0.278                         0                             
17:17:48.264                  0.3682                        0.0068                        0.278                         0                             
17:17:48.376                  0.3684                        0.0071                        0.278                         0                             
17:17:48.487                  0.3685                        0.0071                        0.278                         0                             
17:17:48.615                  0.3686                        0.0072                        0.278                         0                             
17:17:48.727                  0.3686                        0.0073                        0.278                         0                             
17:17:48.855                  0.3685                        0.0073                        0.278                         0                             
17:17:48.967                  0.3684                        0.0072                        0.278                         0                             
17:17:49.079                  0.3684                        0.0071                        0.278                         0                             
17:17:49.207                  0.3685                        0.007                         0.278                         0                             
17:17:49.320                  0.3685                        0.0067                        0.278                         0                             
17:17:49.447                  0.3686                        0.0064                        0.278                         0                             
17:17:49.559                  0.3686                        0.0062                        0.278                         0                             
17:17:49.671                  0.3685                        0.0061                        0.278                         0                             
17:17:49.799                  0.3683                        0.0062                        0.278                         0                             
17:17:49.911                  0.3682                        0.0063                        0.278                         0                             
17:17:50.039                  0.3683                        0.0064                        0.278                         0                             
17:17:50.151                  0.3685                        0.0064                        0.278                         0                             
17:17:50.263                  0.369                         0.0063                        0.278                         0                             
17:17:50.391                  0.3697                        0.0063                        0.278                         0                             
17:17:50.503                  0.3703                        0.0063                        0.278                         0                             
17:17:50.631                  0.3705                        0.0064                        0.278                         0                             
17:17:50.743                  0.3707                        0.0066                        0.278                         0                             
17:17:50.839                  0.3708                        0.0068                        0.278                         0                             
17:17:50.983                  0.3707                        0.0069                        0.278                         0                             
17:17:51.095                  0.3704                        0.007                         0.278                         0                             
17:17:51.223                  0.3702                        0.007                         0.278                         0                             
17:17:51.335                  0.3701                        0.0069                        0.278                         0                             
17:17:51.430                  0.3699                        0.0069                        0.278                         0                             
17:17:51.575                  0.3697                        0.0069                        0.278                         0                             
17:17:51.687                  0.3695                        0.0069                        0.278                         0                             
17:17:51.815                  0.3693                        0.0069                        0.278                         0                             
17:17:51.927                  0.369                         0.0069                        0.278                         0                             
17:17:52.054                  0.3687                        0.0067                        0.278                         0                             
17:17:52.166                  0.3686                        0.0065                        0.278                         0                             
17:17:52.278                  0.3686                        0.0063                        0.278                         0                             
17:17:52.406                  0.3686                        0.0061                        0.278                         0                             
17:17:52.519                  0.3686                        0.006                         0.278                         0                             
17:17:52.646                  0.3687                        0.006                         0.278                         0                             
17:17:52.758                  0.3688                        0.006                         0.278                         0                             
17:17:52.854                  0.369                         0.0061                        0.278                         0                             
17:17:52.998                  0.369                         0.0061                        0.278                         0                             
17:17:53.111                  0.369                         0.0061                        0.278                         0                             
17:17:53.239                  0.3691                        0.0062                        0.278                         0                             
17:17:53.351                  0.369                         0.0066                        0.278                         0                             
17:17:53.479                  0.3689                        0.0068                        0.278                         0                             
17:17:53.590                  0.3688                        0.0071                        0.278                         0                             
17:17:53.702                  0.3687                        0.0074                        0.278                         0                             
17:17:53.830                  0.3686                        0.0076                        0.278                         0                             
17:17:53.942                  0.3685                        0.0075                        0.278                         0                             
17:17:54.038                  0.3687                        0.0071                        0.278                         0                             
17:17:54.182                  0.3688                        0.0068                        0.278                         0                             
17:17:54.294                  0.3688                        0.0065                        0.278                         0                             
17:17:54.422                  0.3688                        0.0062                        0.278                         0                             
17:17:54.534                  0.3688                        0.0061                        0.278                         0                             
17:17:54.662                  0.3688                        0.0062                        0.278                         0                             
17:17:54.774                  0.3687                        0.0063                        0.278                         0                             
17:17:54.887                  0.3687                        0.0063                        0.278                         0                             
17:17:55.014                  0.3688                        0.0063                        0.278                         0                             
17:17:55.125                  0.3688                        0.0063                        0.278                         0                             
17:17:55.254                  0.3688                        0.0062                        0.278                         0                             
17:17:55.366                  0.3687                        0.0061                        0.278                         0                             
17:17:55.478                  0.3687                        0.0061                        0.278                         0                             
17:17:55.606                  0.3686                        0.0061                        0.278                         0                             
17:17:55.718                  0.3687                        0.006                         0.278                         0                             
17:17:55.846                  0.369                         0.006                         0.278                         0                             
17:17:55.958                  0.3691                        0.0059                        0.278                         0                             
17:17:56.070                  0.3693                        0.0057                        0.278                         0                             
17:17:56.198                  0.3694                        0.0055                        0.278                         0                             
17:17:56.310                  0.3693                        0.0054                        0.278                         0                             
17:17:56.437                  0.3691                        0.0055                        0.278                         0                             
17:17:56.549                  0.3689                        0.0055                        0.278                         0                             
17:17:56.661                  0.3685                        0.0058                        0.278                         0                             
17:17:56.790                  0.3684                        0.0059                        0.278                         0                             
17:17:56.901                  0.3682                        0.006                         0.278                         0                             
17:17:57.029                  0.3683                        0.0059                        0.278                         0                             
17:17:57.141                  0.3684                        0.0057                        0.278                         0                             
17:17:57.270                  0.3684                        0.0057                        0.278                         0                             
17:17:57.381                  0.3685                        0.0057                        0.278                         0                             
17:17:57.493                  0.3685                        0.0059                        0.278                         0                             
17:17:57.621                  0.3683                        0.006                         0.278                         0                             
17:17:57.733                  0.3682                        0.0064                        0.278                         0                             
