Specimen_AllReader_Record18 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   R2 D (cm)                     
13:43:16.587                  3.1361                        -0.3524                       0.299                         
13:43:17.589                  3.1352                        -0.3532                       0.299                         
13:43:18.615                  3.1352                        -0.3537                       0.299                         
13:43:19.614                  3.1366                        -0.3533                       0.298                         
13:43:20.611                  3.133                         -0.3541                       0.299                         
13:43:21.623                  3.1354                        -0.3525                       0.299                         
13:43:22.620                  3.1342                        -0.3541                       0.299                         
13:43:22.741                  3.1347                        -0.354                        0.299                         
13:43:22.853                  3.1351                        -0.354                        0.299                         
13:43:22.929                  3.1354                        -0.3537                       0.298                         
13:43:23.061                  3.1356                        -0.3534                       0.299                         
13:43:23.169                  3.1355                        -0.3532                       0.298                         
13:43:23.266                  3.1355                        -0.353                        0.299                         
13:43:23.377                  3.1354                        -0.3529                       0.299                         
13:43:23.490                  3.1351                        -0.3527                       0.299                         
13:43:23.612                  3.1351                        -0.3526                       0.299                         
13:43:23.698                  3.1351                        -0.3527                       0.299                         
13:43:23.809                  3.1352                        -0.3526                       0.299                         
13:43:23.920                  3.1352                        -0.3526                       0.298                         
13:43:24.052                  3.1352                        -0.3527                       0.299                         
13:43:24.132                  3.1352                        -0.3528                       0.299                         
13:43:24.245                  3.135                         -0.3529                       0.298                         
13:43:24.341                  3.1348                        -0.353                        0.298                         
13:43:24.453                  3.1345                        -0.3531                       0.298                         
13:43:24.558                  3.1343                        -0.3532                       0.299                         
13:43:24.640                  3.1341                        -0.3532                       0.299                         
13:43:24.772                  3.1339                        -0.3531                       0.298                         
13:43:24.849                  3.1338                        -0.353                        0.299                         
13:43:24.960                  3.1338                        -0.3529                       0.299                         
13:43:25.092                  3.1339                        -0.3528                       0.299                         
13:43:25.168                  3.134                         -0.3527                       0.299                         
13:43:25.281                  3.1341                        -0.3527                       0.299                         
13:43:25.411                  3.1341                        -0.3528                       0.299                         
13:43:25.488                  3.1341                        -0.3529                       0.299                         
13:43:25.626                  3.1342                        -0.3531                       0.299                         
13:43:25.722                  3.1342                        -0.3531                       0.299                         
13:43:25.834                  3.1342                        -0.3531                       0.299                         
13:43:25.920                  3.1342                        -0.353                        0.299                         
13:43:26.048                  3.1342                        -0.353                        0.299                         
13:43:26.155                  3.1343                        -0.353                        0.299                         
13:43:26.265                  3.1342                        -0.3529                       0.299                         
13:43:26.352                  3.1342                        -0.353                        0.299                         
13:43:26.475                  3.1341                        -0.3531                       0.298                         
13:43:26.558                  3.1341                        -0.3532                       0.299                         
13:43:27.624                  3.1341                        -0.3533                       255                           
13:43:27.709                  3.1342                        -0.3523                       0.298                         
13:43:27.821                  3.134                         -0.3525                       0.299                         
13:43:27.937                  3.1339                        -0.3526                       0.299                         
13:43:28.024                  3.1337                        -0.3529                       0.299                         
13:43:28.141                  3.1335                        -0.353                        0.298                         
13:43:28.253                  3.1336                        -0.353                        0.299                         
13:43:28.349                  3.1338                        -0.353                        0.299                         
13:43:28.460                  3.1341                        -0.3532                       0.299                         
13:43:28.573                  3.1343                        -0.3532                       0.299                         
13:43:28.668                  3.1345                        -0.3531                       0.299                         
13:43:28.782                  3.1346                        -0.3529                       0.299                         
13:43:28.896                  3.1346                        -0.3528                       0.299                         
13:43:29.024                  3.1344                        -0.3526                       0.299                         
13:43:29.104                  3.1341                        -0.3526                       0.299                         
13:43:29.216                  3.1339                        -0.3527                       0.299                         
