Specimen_AllReader_Record6 No ,  

Time (h.m.s.ms),              ID:0 R1 (X)                   ID:0 R1 (Y)                   R2 D (cm)                     
10:54:22.170                  0.3579                        -0.0328                       0.287                         
10:54:23.145                  0.3577                        -0.0327                       0.288                         
10:54:24.169                  0.3594                        -0.0329                       0.287                         
10:54:25.208                  0.3581                        -0.032                        0.287                         
10:54:26.218                  0.3592                        -0.0324                       0.287                         
10:54:27.223                  0.3586                        -0.0325                       0.287                         
10:54:28.246                  0.3585                        -0.0333                       0.287                         
10:54:29.252                  0.3591                        -0.0333                       0.287                         
10:54:30.260                  0.359                         -0.0323                       0.287                         
10:54:31.283                  0.358                         -0.0325                       0.288                         
10:54:32.291                  0.3583                        -0.0329                       0.287                         
10:54:33.298                  0.3583                        -0.0323                       0.288                         
10:54:34.321                  0.3592                        -0.0333                       0.288                         
10:54:35.328                  0.358                         -0.0324                       0.287                         
10:54:36.336                  0.3588                        -0.0332                       0.287                         
10:54:37.359                  0.358                         -0.0328                       0.287                         
10:54:38.366                  0.3583                        -0.0326                       0.287                         
10:54:44.370                  0.3584                        -0.0313                       0.287                         
10:54:44.587                  0.3575                        -0.0333                       0.287                         
10:54:45.482                  0.3588                        -0.0338                       0.287                         
10:54:46.474                  0.3583                        -0.0329                       0.287                         
10:54:47.513                  0.3588                        -0.0331                       0.287                         
