Specimen_AllReader_Record3 No ,  

Time (h.m.s.ms),              ID:0 R1 (X)                   ID:0 R1 (Y)                   R2 D (cm)                     R3 T (N·m),                   
16:25:57.109                  0.3705                        0.0081                        0.278                         0                             
16:25:57.237                  0.3702                        0.0082                        0.278                         0                             
16:25:57.349                  0.3698                        0.0083                        0.278                         0                             
16:25:57.445                  0.3696                        0.0083                        0.278                         0                             
16:25:57.589                  0.3695                        0.0083                        0.278                         0                             
16:25:57.701                  0.3694                        0.0083                        0.278                         0                             
16:25:57.829                  0.3694                        0.0084                        0.278                         0                             
16:25:57.940                  0.3694                        0.0084                        0.278                         0                             
16:25:58.068                  0.3695                        0.0084                        0.278                         0                             
16:25:58.181                  0.3696                        0.0084                        0.278                         0                             
16:25:58.293                  0.3697                        0.0083                        0.278                         0                             
16:25:58.421                  0.3698                        0.0082                        0.278                         0                             
16:25:58.533                  0.37                          0.008                         0.278                         0                             
16:25:58.661                  0.3702                        0.0078                        0.278                         0                             
16:25:58.772                  0.3704                        0.0076                        0.278                         0                             
16:25:58.884                  0.3705                        0.0074                        0.278                         0                             
16:25:59.013                  0.3706                        0.0072                        0.278                         0                             
16:25:59.125                  0.3709                        0.0071                        0.278                         0                             
16:25:59.253                  0.3709                        0.0072                        0.278                         0                             
16:25:59.365                  0.3709                        0.0074                        0.278                         0                             
16:25:59.461                  0.3709                        0.0075                        0.278                         0                             
16:25:59.605                  0.3709                        0.0078                        0.278                         0                             
16:25:59.717                  0.3708                        0.0084                        0.278                         0                             
16:25:59.845                  0.3707                        0.0087                        0.278                         0                             
16:25:59.957                  0.3707                        0.0089                        0.278                         0                             
16:26:00.053                  0.3706                        0.0091                        0.278                         0                             
16:26:00.197                  0.3704                        0.0091                        0.278                         0                             
16:26:00.308                  0.3702                        0.0089                        0.278                         0                             
16:26:00.436                  0.3698                        0.0087                        0.278                         0                             
16:26:00.548                  0.3695                        0.0084                        0.278                         0                             
16:26:00.644                  0.3694                        0.0082                        0.278                         0                             
16:26:00.789                  0.3694                        0.008                         0.278                         0                             
16:26:00.901                  0.3697                        0.0078                        0.278                         0                             
16:26:01.029                  0.37                          0.0078                        0.278                         0                             
16:26:01.141                  0.3704                        0.0077                        0.278                         0                             
16:26:01.268                  0.3707                        0.0078                        0.278                         0                             
16:26:01.380                  0.3708                        0.0078                        0.278                         0                             
16:26:01.492                  0.3708                        0.0079                        0.278                         0                             
16:26:01.620                  0.3705                        0.0081                        0.278                         0                             
16:26:01.732                  0.3701                        0.0082                        0.278                         0                             
16:26:01.860                  0.3698                        0.0084                        0.278                         0                             
16:26:01.972                  0.3694                        0.0084                        0.278                         0                             
16:26:02.084                  0.369                         0.0084                        0.278                         0                             
16:26:02.212                  0.3688                        0.0085                        0.278                         0                             
16:26:02.324                  0.3686                        0.0085                        0.278                         0                             
16:26:02.419                  0.3684                        0.0084                        0.278                         0                             
16:26:02.567                  0.3683                        0.0083                        0.278                         0                             
16:26:02.692                  0.3683                        0.0084                        0.278                         0                             
16:26:02.803                  0.3684                        0.0083                        0.278                         0                             
16:26:02.916                  0.3685                        0.0081                        0.278                         0                             
16:26:03.043                  0.3688                        0.0081                        0.278                         0                             
16:26:03.155                  0.3691                        0.0081                        0.278                         0                             
16:26:03.267                  0.3693                        0.008                         0.278                         0                             
16:26:03.395                  0.3696                        0.0079                        0.278                         0                             
16:26:03.603                  0.3698                        0.0079                        0.278                         0                             
16:26:03.731                  0.3699                        0.0077                        0.278                         0                             
16:26:03.860                  0.3699                        0.0075                        0.278                         0                             
16:26:03.972                  0.3699                        0.0073                        0.278                         0                             
