Specimen_AllReader_Record25 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   R2 D (cm)                     
14:56:35.873                  1.55                          -0.1951                       0.299                         
14:56:36.865                  1.5496                        -0.1953                       0.299                         
14:56:37.871                  1.5504                        -0.195                        0.299                         
14:56:38.873                  1.5501                        -0.1957                       0.299                         
14:56:39.898                  1.549                         -0.1946                       0.299                         
14:56:40.909                  1.5494                        -0.1943                       0.298                         
14:56:41.901                  1.5499                        -0.195                        0.299                         
14:56:41.996                  1.5497                        -0.1951                       0.299                         
14:56:42.108                  1.5496                        -0.1952                       0.299                         
14:56:42.220                  1.5494                        -0.1954                       0.299                         
14:56:42.298                  1.5493                        -0.1954                       0.299                         
14:56:42.422                  1.5492                        -0.1955                       0.299                         
14:56:42.536                  1.5491                        -0.1958                       0.299                         
14:56:42.611                  1.5492                        -0.196                        0.298                         
14:56:42.744                  1.5491                        -0.196                        0.299                         
14:56:42.820                  1.5491                        -0.196                        0.299                         
14:56:42.940                  1.5491                        -0.196                        0.299                         
14:56:43.063                  1.5492                        -0.196                        0.299                         
14:56:43.148                  1.5494                        -0.1957                       0.299                         
14:56:43.250                  1.5495                        -0.1953                       0.299                         
14:56:43.356                  1.5496                        -0.1951                       0.299                         
14:56:43.468                  1.5497                        -0.1949                       0.298                         
14:56:43.575                  1.5497                        -0.1946                       0.299                         
14:56:43.687                  1.5497                        -0.1944                       0.299                         
14:56:43.780                  1.5495                        -0.1944                       0.299                         
14:56:43.899                  1.5496                        -0.1945                       0.299                         
14:56:44.002                  1.5496                        -0.1947                       0.299                         
14:56:44.135                  1.5497                        -0.1949                       0.299                         
14:56:44.209                  1.5498                        -0.195                        0.299                         
14:56:44.322                  1.5498                        -0.195                        0.299                         
14:56:44.454                  1.5499                        -0.1948                       0.298                         
14:56:44.530                  1.5499                        -0.1945                       0.299                         
14:56:44.642                  1.5498                        -0.1943                       0.299                         
14:56:44.773                  1.5497                        -0.194                        0.299                         
14:56:44.859                  1.5497                        -0.1938                       0.298                         
14:56:44.962                  1.5497                        -0.1939                       0.299                         
14:56:45.064                  1.5499                        -0.1939                       0.299                         
14:56:45.207                  1.5499                        -0.1941                       0.299                         
14:56:45.281                  1.5499                        -0.1944                       0.299                         
14:56:45.393                  1.5498                        -0.1945                       0.299                         
14:56:45.526                  1.5497                        -0.1947                       0.299                         
14:56:45.601                  1.5496                        -0.1949                       0.298                         
14:56:45.714                  1.5494                        -0.195                        0.299                         
14:56:45.810                  1.5493                        -0.1951                       0.299                         
14:56:45.929                  1.5493                        -0.1951                       0.299                         
14:56:46.032                  1.5495                        -0.195                        0.299                         
14:56:46.165                  1.5495                        -0.1949                       0.299                         
14:56:46.250                  1.5497                        -0.1948                       0.299                         
14:56:46.362                  1.5498                        -0.1947                       0.299                         
14:56:46.484                  1.5499                        -0.1945                       0.299                         
14:56:46.570                  1.55                          -0.1945                       0.299                         
14:56:46.672                  1.5499                        -0.1945                       0.299                         
14:56:46.805                  1.5499                        -0.1944                       0.299                         
14:56:46.889                  1.5499                        -0.1944                       0.299                         
14:56:46.992                  1.5499                        -0.1944                       0.298                         
14:56:47.095                  1.55                          -0.1946                       0.298                         
14:56:47.209                  1.55                          -0.1947                       0.299                         
14:56:47.320                  1.55                          -0.1949                       0.299                         
14:56:47.433                  1.5501                        -0.1951                       0.299                         
14:56:47.555                  1.5502                        -0.1952                       0.299                         
14:56:47.631                  1.5502                        -0.1953                       0.299                         
14:56:47.744                  1.55                          -0.1953                       0.299                         
14:56:47.877                  1.5498                        -0.1952                       0.299                         
14:56:47.960                  1.5495                        -0.1951                       0.299                         
14:56:48.063                  1.5492                        -0.195                        0.299                         
14:56:48.195                  1.549                         -0.195                        0.299                         
14:56:48.280                  1.5486                        -0.195                        0.299                         
14:56:48.392                  1.5485                        -0.1951                       0.299                         
14:56:48.520                  1.5486                        -0.1951                       0.299                         
14:56:48.600                  1.5488                        -0.1952                       0.299                         
14:56:48.712                  1.5489                        -0.1951                       0.299                         
14:56:48.799                  1.5491                        -0.195                        0.299                         
14:56:48.912                  1.5494                        -0.1949                       0.299                         
