Specimen_AllReader_Record2 No ,  

Time (h.m.s.ms),              ID:0 R1 (X)                   ID:0 R1 (Y)                   R2 D (cm)                     R3 T (N·m),                   
12:27:47.023                  0.3682                        0.0346                        0.279                         0                             
12:27:48.015                  0.3669                        0.0346                        0.279                         0                             
12:27:49.022                  0.3674                        0.0343                        0.279                         0                             
12:27:50.031                  0.3681                        0.0352                        0.279                         0                             
12:27:51.022                  0.3673                        0.0343                        0.279                         0                             
12:27:52.093                  0.3679                        0.0339                        0.279                         0                             
12:27:53.070                  0.3672                        0.0348                        0.279                         0                             
12:27:54.061                  0.3671                        0.0343                        0.279                         0                             
12:27:55.069                  0.3685                        0.0345                        0.279                         0                             
12:27:56.077                  0.3681                        0.0348                        0.279                         0                             
12:27:57.100                  0.3683                        0.0346                        0.279                         0                             
12:27:58.108                  0.3673                        0.0342                        0.279                         0                             
12:27:59.116                  0.3675                        0.0342                        0.279                         0                             
12:28:00.108                  0.3681                        0.0345                        0.279                         0                             
12:28:01.147                  0.368                         0.0346                        0.279                         0                             
12:28:02.155                  0.3675                        0.0345                        0.279                         0                             
12:28:03.147                  0.368                         0.0345                        0.279                         0                             
12:28:04.154                  0.3673                        0.0331                        0.279                         0                             
12:28:05.162                  0.3667                        0.0343                        0.279                         0                             
12:28:06.154                  0.3677                        0.035                         0.279                         0                             
12:28:07.162                  0.3679                        0.0341                        0.279                         0                             
12:28:08.170                  0.3672                        0.0341                        0.279                         0                             
12:28:09.193                  0.367                         0.0342                        0.279                         0                             
12:28:10.200                  0.3673                        0.0339                        0.279                         0                             
12:28:11.240                  0.3676                        0.035                         0.279                         0                             
12:28:12.233                  0.3679                        0.0339                        0.279                         0                             
12:28:13.240                  0.3673                        0.0348                        0.279                         0                             
12:28:14.248                  0.3677                        0.0347                        0.279                         0                             
12:28:15.272                  0.3681                        0.033                         0.279                         0                             
12:28:16.279                  0.3675                        0.0352                        0.279                         0                             
12:28:17.288                  0.3673                        0.0349                        0.279                         0                             
12:28:18.311                  0.3679                        0.0343                        0.279                         0                             
12:28:19.319                  0.3674                        0.0351                        0.279                         0                             
12:28:20.326                  0.3672                        0.0346                        0.279                         0                             
12:28:21.318                  0.3676                        0.0349                        0.279                         0                             
12:28:22.326                  0.3679                        0.0343                        0.279                         0                             
12:28:23.318                  0.3669                        0.0344                        0.279                         0                             
12:28:24.325                  0.3678                        0.0349                        0.279                         0                             
12:28:25.333                  0.3671                        0.035                         0.279                         0                             
12:28:26.469                  0.3672                        0.0359                        0.279                         0                             
12:28:27.396                  0.3667                        0.0348                        0.279                         0                             
12:28:28.404                  
