Specimen_AllReader_Record22 No ,  

Time (h.m.s.ms),              R1 T (N��m),                  
14:43:39.430                  0                             
14:43:40.432                  0                             
14:43:41.441                  0                             
14:43:42.450                  0                             
14:43:43.452                  0                             
14:43:44.482                  0                             
14:43:45.506                  0                             
14:43:46.510                  0                             
14:43:47.517                  0                             
14:43:48.542                  0                             
14:43:49.544                  0                             
14:43:50.560                  0                             
14:43:51.561                  0                             
14:43:52.569                  0                             
14:43:53.573                  0                             
14:43:54.596                  0                             
14:43:55.606                  0                             
14:43:56.599                  0                             
14:43:57.604                  0                             
14:43:58.613                  0                             
14:43:59.622                  0                             
14:44:00.624                  0                             
14:44:01.636                  0                             
14:44:02.640                  0                             
14:44:03.646                  0                             
14:44:04.674                  0                             
14:44:05.680                  0                             
14:44:06.691                  0                             
14:44:07.696                  0                             
14:44:08.698                  0                             
14:44:09.706                  0                             
14:44:10.716                  0                             
14:44:11.746                  0                             
14:44:12.766                  0                             
14:44:13.735                  0                             
14:44:14.744                  0                             
14:44:15.754                  0                             
14:44:16.777                  0                             
14:44:17.793                  0                             
14:44:18.788                  0                             
14:44:19.819                  0                             
14:44:20.826                  0                             
14:44:21.823                  0                             
14:44:22.833                  0                             
14:44:23.841                  0                             
14:44:24.865                  0                             
14:44:25.876                  0                             
14:44:26.882                  0                             
14:44:27.891                  0                             
14:44:28.892                  0                             
14:44:29.906                  0                             
14:44:30.910                  0                             
14:44:31.921                  0                             
14:44:32.945                  0                             
14:44:33.951                  0                             
14:44:34.953                  0                             
14:44:35.967                  0                             
14:44:36.977                  0                             
14:44:37.982                  0                             
14:44:38.990                  0                             
14:44:39.994                  0                             
14:44:41.005                  0                             
14:44:42.029                  0                             
14:44:43.033                  0                             
14:44:44.038                  0                             
14:44:45.050                  0                             
14:44:46.073                  0                             
14:44:47.080                  0                             
14:44:48.088                  0                             
14:44:49.095                  0                             
14:44:50.103                  0                             
14:44:51.110                  0                             
14:44:52.109                  0                             
14:44:53.124                  0                             
14:44:54.147                  0                             
14:44:55.155                  0                             
14:44:56.162                  0                             
