Specimen_AllReader_Record1 No ,  

Time (h.m.s.ms),              ID:0 R1 (X)                   ID:0 R1 (Y)                   R2 D (cm)                     
12:15:26.411                  0.3691                        0.035                         0.279                         
12:15:26.507                  0.369                         0.0346                        0.279                         
12:15:26.618                  0.3691                        0.0343                        0.279                         
12:15:26.698                  0.3692                        0.034                         0.279                         
12:15:26.826                  0.3694                        0.0338                        0.279                         
12:15:26.938                  0.3695                        0.0337                        0.279                         
12:15:27.051                  0.3695                        0.0337                        0.279                         
12:15:27.147                  0.3695                        0.0338                        0.279                         
12:15:27.258                  0.3694                        0.034                         0.279                         
