Specimen_AllReader_Record4 No ,  

Time (h.m.s.ms),              ID:0 R1 (X)                   ID:0 R1 (Y)                   R2 D (cm)                     
17:11:05.232                  0.3685                        0.005                         0.278                         
17:11:05.343                  0.3685                        0.0048                        0.278                         
17:11:05.455                  0.3684                        0.0046                        0.278                         
17:11:05.536                  0.3684                        0.0047                        0.278                         
17:11:05.663                  0.3683                        0.0048                        0.278                         
17:11:05.776                  0.3684                        0.005                         0.278                         
17:11:05.871                  0.3687                        0.0052                        0.278                         
17:11:05.983                  0.3688                        0.0054                        0.278                         
17:11:06.095                  0.369                         0.0056                        0.278                         
17:11:06.223                  0.3691                        0.0058                        0.278                         
17:11:06.303                  0.3691                        0.0058                        0.278                         
17:11:06.447                  0.3688                        0.0059                        0.278                         
17:11:06.543                  0.3686                        0.0059                        0.277                         
17:11:06.655                  0.3684                        0.006                         0.278                         
17:11:06.767                  0.3683                        0.0059                        0.278                         
17:11:06.863                  0.3683                        0.0059                        0.278                         
17:11:06.975                  0.3683                        0.006                         0.278                         
17:11:07.087                  0.3684                        0.006                         0.278                         
17:11:07.215                  0.3685                        0.006                         0.278                         
17:11:07.327                  0.3684                        0.0061                        0.278                         
17:11:07.407                  0.3683                        0.0062                        0.278                         
17:11:07.534                  0.3681                        0.0064                        0.278                         
17:11:07.614                  0.368                         0.0064                        0.278                         
17:11:07.726                  0.3677                        0.0065                        0.278                         
17:11:07.855                  0.3677                        0.0067                        0.278                         
17:11:07.935                  0.3677                        0.0069                        0.278                         
17:11:08.062                  0.368                         0.007                         0.278                         
17:11:08.175                  0.3683                        0.007                         0.278                         
17:11:08.286                  0.3686                        0.007                         0.278                         
17:11:08.398                  0.369                         0.007                         0.278                         
17:11:08.494                  0.3694                        0.0069                        0.278                         
17:11:08.606                  0.3697                        0.0068                        0.278                         
17:11:08.718                  0.37                          0.0064                        0.278                         
17:11:08.847                  0.3701                        0.0062                        0.278                         
17:11:08.927                  0.3701                        0.0061                        0.278                         
17:11:09.055                  0.37                          0.0061                        0.278                         
17:11:09.166                  0.3699                        0.0061                        0.278                         
17:11:09.279                  0.3697                        0.0061                        0.278                         
17:11:09.374                  0.3693                        0.0064                        0.278                         
17:11:09.486                  0.3692                        0.0067                        0.278                         
17:11:09.598                  0.3692                        0.0069                        0.278                         
17:11:09.694                  0.3691                        0.0069                        0.278                         
17:11:09.838                  0.3689                        0.007                         0.278                         
17:11:09.918                  0.3688                        0.007                         0.278                         
17:11:10.014                  0.3688                        0.0069                        0.278                         
17:11:10.159                  0.3687                        0.0067                        0.278                         
17:11:10.238                  0.3686                        0.0064                        0.278                         
17:11:10.350                  0.3686                        0.0064                        0.278                         
17:11:10.478                  0.3689                        0.0064                        0.278                         
17:11:10.590                  0.3691                        0.0064                        0.278                         
17:11:10.686                  0.3691                        0.0065                        0.278                         
17:11:10.798                  0.3692                        0.0067                        0.278                         
17:11:10.910                  0.3692                        0.0069                        0.278                         
17:11:11.038                  0.369                         0.0072                        0.278                         
17:11:11.118                  0.3687                        0.0073                        0.278                         
