Specimen_AllReader_Record20 No ,  

Time (h.m.s.ms),              R1 T (N��m),                  
14:42:26.388                  0                             
14:42:27.411                  0                             
14:42:28.417                  0                             
14:42:29.422                  0                             
14:42:30.435                  0                             
14:42:31.442                  0                             
14:42:32.449                  0                             
14:42:33.470                  0                             
14:42:34.480                  0                             
14:42:35.497                  0                             
14:42:36.508                  0                             
14:42:37.501                  0                             
14:42:38.521                  0                             
14:42:39.533                  0                             
14:42:40.540                  0                             
14:42:41.548                  0                             
14:42:42.555                  0                             
14:42:43.560                  0                             
14:42:44.571                  0                             
14:42:45.571                  0                             
14:42:46.581                  0                             
14:42:47.587                  0                             
14:42:48.612                  0                             
14:42:49.623                  0                             
14:42:50.624                  0                             
14:42:51.622                  0                             
14:42:52.644                  0                             
14:42:53.791                  0                             
