Specimen_AllReader_Record17 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   R2 D (cm)                     
13:25:07.038                  3.4591                        -0.4013                       0.3                           
13:25:08.022                  3.4591                        -0.4013                       0.299                         
13:25:09.030                  3.4583                        -0.4005                       0.299                         
13:25:10.035                  3.4583                        -0.4006                       0.299                         
13:25:11.061                  3.458                         -0.4006                       0.299                         
13:25:12.079                  3.4572                        -0.4012                       0.299                         
13:25:13.056                  3.457                         -0.3998                       0.299                         
13:25:13.186                  3.4568                        -0.3998                       0.299                         
13:25:13.266                  3.4566                        -0.4                          0.299                         
13:25:13.410                  3.4565                        -0.4004                       0.299                         
13:25:13.506                  3.4565                        -0.4005                       0.299                         
13:25:13.619                  3.4566                        -0.4008                       0.3                           
13:25:13.698                  3.4567                        -0.401                        0.299                         
13:25:13.827                  3.4571                        -0.4013                       0.299                         
13:25:13.938                  3.4574                        -0.4014                       0.299                         
13:25:14.049                  3.4577                        -0.4014                       0.299                         
13:25:14.178                  3.4581                        -0.4014                       0.299                         
13:25:14.289                  3.4582                        -0.4014                       0.299                         
13:25:14.402                  3.4581                        -0.4014                       0.299                         
13:25:14.498                  3.458                         -0.4013                       0.299                         
13:25:14.613                  3.4578                        -0.4013                       0.3                           
13:25:14.726                  3.4575                        -0.4013                       0.299                         
13:25:14.820                  3.4571                        -0.4015                       0.299                         
13:25:14.926                  3.457                         -0.4015                       0.299                         
13:25:15.043                  3.457                         -0.4015                       0.299                         
13:25:15.125                  3.4572                        -0.4015                       0.299                         
13:25:15.253                  3.4573                        -0.4015                       0.3                           
13:25:15.363                  3.4574                        -0.4014                       0.3                           
13:25:15.437                  3.4575                        -0.4012                       0.299                         
13:25:15.571                  3.4574                        -0.4011                       0.299                         
