Specimen_AllReader_Record548 No ,  

Time (h.m.s.ms),              ID:0 R1 (X)                   ID:0 R1 (Y)                   R2 D (cm)                     
12:13:11.346                  0.3684                        0.0354                        0.279                         
12:13:11.442                  0.3682                        0.0355                        0.279                         
12:13:11.553                  0.3682                        0.0357                        0.28                          
12:13:11.634                  0.3681                        0.0359                        0.279                         
12:13:11.746                  0.3681                        0.0358                        0.279                         
12:13:11.874                  0.368                         0.0357                        0.279                         
12:13:11.985                  0.3678                        0.0355                        0.279                         
12:13:12.081                  0.3677                        0.0352                        0.279                         
12:13:12.194                  0.3676                        0.035                         0.279                         
12:13:12.305                  0.3675                        0.0345                        0.279                         
12:13:12.401                  0.3674                        0.0343                        0.279                         
12:13:12.513                  0.3673                        0.0342                        0.279                         
12:13:12.625                  0.3673                        0.0341                        0.279                         
12:13:12.705                  0.3672                        0.0343                        0.279                         
12:13:12.833                  0.3671                        0.0344                        0.279                         
12:13:12.913                  0.3671                        0.0347                        0.279                         
12:13:13.101                  0.3671                        0.035                         0.279                         
12:13:13.185                  0.3674                        0.0353                        0.279                         
12:13:13.297                  0.3677                        0.0353                        0.279                         
12:13:13.425                  0.3681                        0.0353                        0.279                         
12:13:13.505                  0.3685                        0.0352                        0.279                         
12:13:13.617                  0.3687                        0.0351                        0.279                         
12:13:13.745                  0.3689                        0.0349                        0.279                         
12:13:13.857                  0.369                         0.0349                        0.279                         
12:13:13.953                  0.3687                        0.0349                        0.279                         
12:13:14.065                  0.3684                        0.0349                        0.279                         
12:13:14.177                  0.3682                        0.0349                        0.279                         
12:13:14.289                  0.3681                        0.0349                        0.279                         
12:13:14.417                  0.3678                        0.0349                        0.279                         
12:13:14.497                  0.3676                        0.0349                        0.279                         
12:13:14.609                  0.3677                        0.0348                        0.28                          
12:13:14.736                  0.3678                        0.0346                        0.279                         
12:13:14.816                  0.3677                        0.0346                        0.279                         
12:13:14.945                  0.3675                        0.0346                        0.28                          
12:13:15.056                  0.3674                        0.0347                        0.279                         
12:13:15.169                  0.3675                        0.0347                        0.279                         
12:13:15.264                  0.3674                        0.0347                        0.279                         
12:13:15.377                  0.3673                        0.0349                        0.279                         
12:13:15.488                  0.3674                        0.0349                        0.279                         
12:13:15.601                  0.3676                        0.0349                        0.279                         
12:13:15.729                  0.3679                        0.0349                        0.279                         
12:13:15.808                  0.368                         0.0349                        0.279                         
12:13:15.936                  0.3684                        0.0351                        0.279                         
12:13:16.048                  0.3688                        0.0352                        0.279                         
12:13:16.160                  0.369                         0.0355                        0.279                         
12:13:16.256                  0.369                         0.0357                        0.279                         
12:13:16.368                  0.369                         0.0359                        0.279                         
12:13:16.480                  0.3688                        0.0359                        0.279                         
12:13:16.576                  0.3684                        0.036                         0.279                         
12:13:16.720                  0.368                         0.036                         0.279                         
12:13:16.833                  0.3676                        0.0359                        0.279                         
12:13:16.928                  0.3675                        0.0358                        0.279                         
12:13:17.040                  0.3674                        0.0359                        0.279                         
12:13:17.152                  0.3674                        0.036                         0.279                         
12:13:17.280                  0.3677                        0.036                         0.279                         
12:13:17.360                  0.3679                        0.0361                        0.279                         
12:13:17.472                  0.3683                        0.0362                        0.279                         
12:13:17.600                  0.3686                        0.0363                        0.279                         
12:13:17.680                  0.3687                        0.0363                        0.279                         
12:13:17.792                  0.3689                        0.0362                        0.279                         
12:13:17.920                  0.3691                        0.0359                        0.279                         
12:13:18.032                  0.3692                        0.0357                        0.279                         
12:13:18.144                  0.3691                        0.0353                        0.279                         
12:13:18.239                  0.3692                        0.035                         0.279                         
12:13:18.352                  0.3694                        0.0347                        0.279                         
12:13:18.463                  0.3694                        0.0346                        0.279                         
12:13:18.591                  0.3694                        0.0347                        0.279                         
12:13:18.672                  0.3694                        0.0348                        0.279                         
12:13:18.783                  0.3693                        0.0349                        0.279                         
12:13:18.917                  0.3691                        0.0351                        0.279                         
12:13:19.023                  0.369                         0.0352                        0.279                         
12:13:19.103                  0.3689                        0.0352                        0.279                         
12:13:19.231                  0.3689                        0.0351                        0.279                         
12:13:19.324                  0.3689                        0.0348                        0.279                         
12:13:19.439                  0.3689                        0.0347                        0.279                         
12:13:19.551                  0.369                         0.0345                        0.279                         
12:13:19.663                  0.3691                        0.0344                        0.279                         
12:13:19.775                  0.3691                        0.0345                        0.279                         
12:13:19.871                  0.3691                        0.0346                        0.28                          
12:13:19.983                  0.369                         0.0348                        0.279                         
12:13:20.095                  0.3688                        0.0351                        0.279                         
12:13:20.223                  0.3686                        0.0353                        0.279                         
12:13:20.336                  0.3684                        0.0354                        0.279                         
12:13:20.416                  0.3681                        0.0355                        0.279                         
12:13:20.543                  0.3679                        0.0357                        0.279                         
12:13:20.623                  0.3677                        0.0359                        0.279                         
12:13:20.735                  0.3676                        0.036                         0.279                         
12:13:20.863                  0.3676                        0.0362                        0.279                         
12:13:20.943                  0.3677                        0.0366                        0.279                         
12:13:21.087                  0.3679                        0.0369                        0.279                         
12:13:21.151                  0.3681                        0.037                         0.279                         
12:13:21.295                  0.3685                        0.0369                        0.279                         
12:13:21.407                  0.3687                        0.0368                        0.279                         
12:13:21.503                  0.3688                        0.0366                        0.279                         
12:13:21.616                  0.3687                        0.0362                        0.279                         
12:13:21.727                  0.3688                        0.0358                        0.279                         
12:13:21.854                  0.3688                        0.0356                        0.279                         
12:13:21.935                  0.3687                        0.0354                        0.279                         
12:13:22.063                  0.3685                        0.0352                        0.279                         
12:13:22.175                  0.3684                        0.035                         0.279                         
12:13:22.287                  0.3684                        0.0349                        0.279                         
12:13:22.382                  0.3682                        0.0348                        0.279                         
12:13:22.494                  0.368                         0.0347                        0.279                         
12:13:22.606                  0.368                         0.0347                        0.279                         
12:13:22.719                  0.3679                        0.0348                        0.279                         
12:13:22.814                  0.3679                        0.0348                        0.279                         
12:13:22.927                  0.3679                        0.0348                        0.279                         
12:13:23.039                  0.368                         0.0349                        0.279                         
12:13:23.166                  0.3681                        0.035                         0.279                         
12:13:23.278                  0.3681                        0.0349                        0.279                         
12:13:23.374                  0.3682                        0.0348                        0.279                         
12:13:23.487                  0.3682                        0.0348                        0.279                         
12:13:23.598                  0.3683                        0.035                         0.279                         
12:13:23.727                  0.3683                        0.0349                        0.279                         
12:13:23.807                  0.3684                        0.035                         0.279                         
12:13:23.918                  0.3685                        0.0351                        0.279                         
12:13:24.046                  0.3684                        0.0353                        0.279                         
12:13:24.126                  0.3684                        0.0355                        0.279                         
12:13:24.270                  0.3684                        0.0355                        0.279                         
12:13:24.334                  0.3683                        0.0355                        0.279                         
12:13:24.478                  0.3682                        0.0355                        0.279                         
12:13:24.590                  0.3682                        0.0353                        0.279                         
12:13:24.686                  0.3683                        0.0351                        0.279                         
12:13:24.798                  0.3684                        0.035                         0.279                         
12:13:24.910                  0.3685                        0.0348                        0.279                         
12:13:25.038                  0.3684                        0.0348                        0.279                         
12:13:25.118                  0.3684                        0.0348                        0.279                         
12:13:25.246                  0.3681                        0.0348                        0.279                         
12:13:25.358                  0.3678                        0.0348                        0.279                         
12:13:25.469                  0.3675                        0.0348                        0.279                         
12:13:25.566                  0.3673                        0.0349                        0.279                         
12:13:25.678                  0.3672                        0.035                         0.279                         
12:13:25.789                  0.3672                        0.0351                        0.279                         
12:13:25.902                  0.3673                        0.0354                        0.279                         
12:13:26.030                  0.3674                        0.0356                        0.279                         
12:13:26.141                  0.3674                        0.036                         0.279                         
12:13:26.238                  0.3675                        0.0362                        0.279                         
12:13:26.349                  0.3676                        0.0364                        0.279                         
12:13:26.461                  0.3676                        0.0366                        0.279                         
12:13:26.589                  0.3677                        0.0367                        0.279                         
12:13:26.669                  0.3678                        0.0366                        0.279                         
12:13:26.782                  0.3679                        0.0364                        0.279                         
12:13:26.910                  0.3679                        0.0362                        0.279                         
12:13:27.022                  0.3679                        0.0361                        0.279                         
12:13:27.134                  0.3678                        0.0359                        0.279                         
12:13:27.230                  0.3677                        0.0358                        0.279                         
12:13:27.341                  0.3676                        0.0358                        0.279                         
12:13:27.453                  0.3675                        0.0359                        0.279                         
12:13:27.582                  0.3675                        0.0361                        0.279                         
12:13:27.661                  0.3676                        0.0362                        0.279                         
12:13:27.773                  0.3675                        0.0361                        0.279                         
12:13:27.901                  0.3674                        0.0361                        0.279                         
12:13:27.981                  0.3673                        0.0359                        0.279                         
12:13:28.093                  0.3673                        0.0357                        0.279                         
12:13:28.221                  0.3672                        0.0353                        0.279                         
12:13:28.301                  0.367                         0.035                         0.279                         
12:13:28.445                  0.3669                        0.0349                        0.279                         
12:13:28.509                  0.3669                        0.0347                        0.279                         
12:13:28.653                  0.3671                        0.0347                        0.279                         
12:13:28.766                  0.3672                        0.0347                        0.279                         
12:13:28.861                  0.3674                        0.0348                        0.279                         
12:13:28.973                  0.3677                        0.0349                        0.279                         
12:13:29.085                  0.368                         0.035                         0.279                         
12:13:29.213                  0.3683                        0.035                         0.279                         
12:13:29.293                  0.3683                        0.0349                        0.279                         
12:13:29.405                  0.3684                        0.035                         0.279                         
12:13:29.501                  0.3685                        0.035                         0.279                         
12:13:29.645                  0.3685                        0.0348                        0.279                         
12:13:29.725                  0.3684                        0.0348                        0.279                         
12:13:29.837                  0.3683                        0.0349                        0.279                         
12:13:29.965                  0.3683                        0.0349                        0.279                         
12:13:30.045                  0.3684                        0.0349                        0.279                         
12:13:30.173                  0.3685                        0.0349                        0.279                         
12:13:30.285                  0.3686                        0.0349                        0.279                         
12:13:30.397                  0.3687                        0.0347                        0.279                         
12:13:30.493                  0.3688                        0.0345                        0.279                         
12:13:30.605                  0.3689                        0.0344                        0.279                         
12:13:30.717                  0.3688                        0.0343                        0.279                         
12:13:30.844                  0.3686                        0.0342                        0.279                         
12:13:30.924                  0.3684                        0.0341                        0.28                          
12:13:31.053                  0.3684                        0.0342                        0.279                         
12:13:31.165                  0.3683                        0.0344                        0.279                         
12:13:31.276                  0.368                         0.0345                        0.279                         
12:13:31.388                  0.3678                        0.0345                        0.279                         
12:13:31.484                  0.3677                        0.0347                        0.279                         
12:13:31.596                  0.3676                        0.0349                        0.279                         
12:13:31.708                  0.3673                        0.035                         0.279                         
12:13:31.836                  0.3672                        0.035                         0.279                         
12:13:31.916                  0.3672                        0.0352                        0.28                          
12:13:32.044                  0.3674                        0.0354                        0.28                          
12:13:32.156                  0.3675                        0.0354                        0.279                         
12:13:32.268                  0.3676                        0.0354                        0.279                         
12:13:32.364                  0.3678                        0.0354                        0.279                         
12:13:32.476                  0.368                         0.0354                        0.279                         
12:13:32.588                  0.368                         0.0356                        0.279                         
12:13:32.716                  0.368                         0.0357                        0.28                          
12:13:32.828                  0.3681                        0.036                         0.279                         
12:13:32.908                  0.3682                        0.0363                        0.279                         
12:13:33.004                  0.3682                        0.0365                        0.279                         
12:13:33.148                  0.3684                        0.0367                        0.279                         
12:13:33.228                  0.3686                        0.0368                        0.279                         
12:13:33.340                  0.3687                        0.0367                        0.279                         
12:13:33.468                  0.3686                        0.0363                        0.279                         
12:13:33.549                  0.3687                        0.036                         0.279                         
12:13:33.660                  0.3688                        0.0357                        0.279                         
12:13:33.788                  0.3688                        0.0353                        0.279                         
12:13:33.900                  0.3687                        0.0352                        0.279                         
12:13:33.996                  0.3686                        0.0353                        0.279                         
12:13:34.108                  0.3686                        0.0355                        0.279                         
12:13:34.220                  0.3685                        0.0358                        0.279                         
12:13:34.316                  0.3683                        0.0361                        0.279                         
12:13:34.460                  0.3681                        0.0363                        0.279                         
12:13:34.540                  0.368                         0.0364                        0.279                         
12:13:34.652                  0.368                         0.0364                        0.279                         
12:13:34.779                  0.368                         0.0362                        0.279                         
12:13:34.891                  0.368                         0.036                         0.279                         
12:13:34.988                  0.3682                        0.0357                        0.279                         
12:13:35.099                  0.3683                        0.0353                        0.279                         
12:13:35.212                  0.3684                        0.035                         0.279                         
12:13:35.339                  0.3684                        0.0348                        0.279                         
12:13:35.420                  0.3685                        0.0347                        0.28                          
12:13:35.532                  0.3686                        0.0348                        0.279                         
12:13:35.644                  0.3686                        0.035                         0.279                         
12:13:35.772                  0.3687                        0.0354                        0.279                         
12:13:35.852                  0.3687                        0.0357                        0.279                         
12:13:35.964                  0.3688                        0.0359                        0.28                          
12:13:36.092                  0.3688                        0.0361                        0.279                         
12:13:36.203                  0.3688                        0.0361                        0.279                         
12:13:36.299                  0.3687                        0.036                         0.279                         
12:13:36.411                  0.3687                        0.0358                        0.28                          
12:13:36.523                  0.3688                        0.0356                        0.279                         
12:13:36.635                  0.3687                        0.0355                        0.279                         
12:13:36.763                  0.3685                        0.0355                        0.279                         
